mwe,type,distance,baseline
gained_international_attention,gained_international_attention,MWE_LVC,1.1784566162370547,2.701754010039034
military_academy,military_academy,MWE_COMPOUND_NOUN,1.772206392312278,2.0468670077159388
adult_education_classes,adult_education_classes,MWE_COMPOUND_NOUN,1.4376989571042174,3.8952005551711975
social_outcast,social_outcast,MWE_COMPOUND_NOUN,0.8327182981696151,6.622136710303178
housewarming_party,housewarming_party,MWE_COMPOUND_NOUN,1.4106626763318542,3.8020822494951365
draws_his_main_support,draws_his_main_support,MWE_LVC,2.6497980233710856,2.670017088398125
air_fare,air_fare,MWE_COMPOUND_NOUN,0.7888373511060441,2.2307396503422363
financial_situation,financial_situation,MWE_COMPOUND_NOUN,1.0541603517210982,0.9800809735766733
soy_sauces,soy_sauces,MWE_COMPOUND_NOUN,1.0319569375855762,2.5665496653365194
interference_problems,interference_problems,MWE_COMPOUND_NOUN,1.26178987820229,4.458808774448844
trash_can,trash_can,MWE_COMPOUND_NOUN,2.5335453012678695,0.4075321714822032
founding_member,founding_member,MWE_COMPOUND_NOUN,1.226323644726689,4.052873484948302
surfer_dude,surfer_dude,MWE_COMPOUND_NOUN,0.15799619263213274,3.769324248493357
gaseous_crowd_control,gaseous_crowd_control,MWE_COMPOUND_NOUN,1.5099100379531811,2.4396848446430535
ignition_conditions,ignition_conditions,MWE_COMPOUND_NOUN,1.2607572253333508,5.146075900851929
wedding_license,wedding_license,MWE_COMPOUND_NOUN,0.6387727887492547,4.022728120270869
heavy_machinery,heavy_machinery,MWE_COMPOUND_NOUN,1.2486420649337422,3.501812605072693
risk_ratio,risk_ratio,MWE_COMPOUND_NOUN,1.293703394299578,1.3568237958216973
present_day_members,present_day_members,MWE_COMPOUND_NOUN,3.1812851324005655,4.042635539864186
beam_bay,beam_bay,MWE_COMPOUND_NOUN,2.3099665559954543,2.090386669641767
political_societies,political_societies,MWE_COMPOUND_NOUN,2.1923376019352028,4.182196049076849
barnes_dance,barnes_dance,MWE_COMPOUND_NOUN,0.30029908151707696,1.2854800546033376
folk_music,folk_music,MWE_COMPOUND_NOUN,1.1420195326504925,3.97812578049111
constitutional_law,constitutional_law,MWE_COMPOUND_NOUN,1.715953890366011,2.2564054121954675
pipe_bomb,pipe_bomb,MWE_COMPOUND_NOUN,0.4651282508443235,3.659665746370971
field_goal,field_goal,MWE_COMPOUND_NOUN,1.5784770862630537,4.895285202037058
musical_tradition,musical_tradition,MWE_COMPOUND_NOUN,1.2217716984061506,3.899074455074819
eastern_bloc,eastern_bloc,MWE_COMPOUND_NOUN,1.086041731422071,0.4791176897704779
social_democrats,social_democrats,MWE_COMPOUND_NOUN,0.5146608893482679,1.9871317586697665
per_capita,per_capita,MWE_OTHER,1.7878176803098522,3.9343991769692095
campaign_chairman,campaign_chairman,MWE_COMPOUND_NOUN,0.849120140873039,3.270307065165594
frying_powder,frying_powder,MWE_COMPOUND_NOUN,0.12927226658781074,0.6589733865483492
brought_him_in_contact,brought_him_in_contact,MWE_LVC,2.5587237328192547,5.076990871852836
took_the_lead,took_the_lead,MWE_LVC,2.742412405712796,4.1189469354345905
series_of_books,series_of_books,MWE_COMPOUND_NOUN,3.4944484119407173,0.4102466121188571
test_results,test_results,MWE_COMPOUND_NOUN,1.071631805334626,1.045757852420913
paperback_sales,paperback_sales,MWE_COMPOUND_NOUN,0.4123166822464864,4.256057311699173
narcotics_officers,narcotics_officers,MWE_COMPOUND_NOUN,0.23560810568876867,4.238708295792363
laser_beamlines,laser_beamlines,MWE_COMPOUND_NOUN,2.2393105770237076,5.075215146260601
wharf_area,wharf_area,MWE_COMPOUND_NOUN,1.399107909334909,5.183176252676152
football_club,football_club,MWE_COMPOUND_NOUN,1.7894114049749015,3.9713400675224233
enemy_territory,enemy_territory,MWE_COMPOUND_NOUN,0.7239727784582095,5.0526343569999215
practical_accuracy,practical_accuracy,MWE_COMPOUND_NOUN,0.9857497083744181,4.118416583504029
nomadic_wandering,nomadic_wandering,MWE_COMPOUND_NOUN,0.1292151925123358,3.3203640498636595
alternative_energy,alternative_energy,MWE_COMPOUND_NOUN,0.9768682941767278,1.127695735955404
network_programs,network_programs,MWE_COMPOUND_NOUN,1.5881581028884528,3.7161378099855233
motion_picture_news,motion_picture_news,MWE_COMPOUND_NOUN,1.067135782481259,3.054896793636898
opposition_groups,opposition_groups,MWE_COMPOUND_NOUN,2.1534854335212605,3.7178396932065265
value_added,value_added,MWE_COMPOUND_ADJ,1.9727975887760885,4.681876626256399
private_interests,private_interests,MWE_COMPOUND_NOUN,1.1221272408970604,4.583671764888603
made_one_appearance,made_one_appearance,MWE_LVC,3.030282246431547,2.57484364719899
