mwe,type,distance,baseline
gained_international_attention,gained_international_attention,MWE_LVC,1.300888958729589,4.103551697835547
military_academy,military_academy,MWE_COMPOUND_NOUN,1.4688428630397297,4.2133779633189805
adult_education_classes,adult_education_classes,MWE_COMPOUND_NOUN,1.5735643799069674,5.028787178671216
social_outcast,social_outcast,MWE_COMPOUND_NOUN,0.9284837124908276,5.608507207310784
housewarming_party,housewarming_party,MWE_COMPOUND_NOUN,1.4375348058366275,4.401009715568235
draws_his_main_support,draws_his_main_support,MWE_LVC,2.6464959225992706,3.96567110045639
air_fare,air_fare,MWE_COMPOUND_NOUN,0.7930773990694413,3.351470914327021
financial_situation,financial_situation,MWE_COMPOUND_NOUN,1.177418894847433,3.6813337166148097
soy_sauces,soy_sauces,MWE_COMPOUND_NOUN,0.8140669804837929,3.190157102894151
interference_problems,interference_problems,MWE_COMPOUND_NOUN,1.255784753857523,4.504649686741356
trash_can,trash_can,MWE_COMPOUND_NOUN,2.67373301057197,6.078138827200148
founding_member,founding_member,MWE_COMPOUND_NOUN,1.4628341108770668,4.168568092292004
surfer_dude,surfer_dude,MWE_COMPOUND_NOUN,0.23681169352673445,4.640904554364268
gaseous_crowd_control,gaseous_crowd_control,MWE_COMPOUND_NOUN,1.4007263554889815,4.103446785721242
ignition_conditions,ignition_conditions,MWE_COMPOUND_NOUN,1.3156246306743427,4.959890346208372
wedding_license,wedding_license,MWE_COMPOUND_NOUN,0.702822021737189,4.203326903537243
heavy_machinery,heavy_machinery,MWE_COMPOUND_NOUN,1.2267640928324401,4.72614628401682
risk_ratio,risk_ratio,MWE_COMPOUND_NOUN,1.2414834300805226,3.5098536731071857
present_day_members,present_day_members,MWE_COMPOUND_NOUN,3.2122984946011104,3.660548456042892
beam_bay,beam_bay,MWE_COMPOUND_NOUN,2.2100404518763344,3.791477028563275
political_societies,political_societies,MWE_COMPOUND_NOUN,2.1085841811377843,5.205986136835172
barnes_dance,barnes_dance,MWE_COMPOUND_NOUN,0.2470793003141907,4.114606893575861
