mwe,type,distance,baseline
gained_international_attention,gained_international_attention,MWE_LVC,1.1784566162370547,4.422387051749201
military_academy,military_academy,MWE_COMPOUND_NOUN,1.772206392312278,3.2625881597198263
adult_education_classes,adult_education_classes,MWE_COMPOUND_NOUN,1.4376989571042174,4.910517083256506
social_outcast,social_outcast,MWE_COMPOUND_NOUN,0.8327182981696151,6.622136710303178
housewarming_party,housewarming_party,MWE_COMPOUND_NOUN,1.4106626763318542,4.809653621950545
draws_his_main_support,draws_his_main_support,MWE_LVC,2.6497980233710856,2.6099835104413978
air_fare,air_fare,MWE_COMPOUND_NOUN,0.7888373511060441,2.5744835395888623
financial_situation,financial_situation,MWE_COMPOUND_NOUN,1.0541603517210982,2.3487007530886093
soy_sauces,soy_sauces,MWE_COMPOUND_NOUN,1.0319569375855762,1.982419234402249
interference_problems,interference_problems,MWE_COMPOUND_NOUN,1.26178987820229,4.080954764523126
trash_can,trash_can,MWE_COMPOUND_NOUN,2.5335453012678695,6.697585510918766
founding_member,founding_member,MWE_COMPOUND_NOUN,1.226323644726689,3.802042005965479
surfer_dude,surfer_dude,MWE_COMPOUND_NOUN,0.15799619263213274,2.781555752201275
gaseous_crowd_control,gaseous_crowd_control,MWE_COMPOUND_NOUN,1.5099100379531811,4.237894563913784
ignition_conditions,ignition_conditions,MWE_COMPOUND_NOUN,1.2607572253333508,5.219997172235345
wedding_license,wedding_license,MWE_COMPOUND_NOUN,0.6387727887492547,4.022728120270869
heavy_machinery,heavy_machinery,MWE_COMPOUND_NOUN,1.2486420649337422,4.232602836751991
risk_ratio,risk_ratio,MWE_COMPOUND_NOUN,1.293703394299578,1.4731780877348124
present_day_members,present_day_members,MWE_COMPOUND_NOUN,3.1812851324005655,4.276402587739487
beam_bay,beam_bay,MWE_COMPOUND_NOUN,2.3099665559954543,3.983890367569118
political_societies,political_societies,MWE_COMPOUND_NOUN,2.1923376019352028,5.292294092597841
barnes_dance,barnes_dance,MWE_COMPOUND_NOUN,0.30029908151707696,0.8441837148861616
folk_music,folk_music,MWE_COMPOUND_NOUN,1.1420195326504925,3.97812578049111
constitutional_law,constitutional_law,MWE_COMPOUND_NOUN,1.715953890366011,3.0593770858906884
pipe_bomb,pipe_bomb,MWE_COMPOUND_NOUN,0.4651282508443235,2.6790484281977807
field_goal,field_goal,MWE_COMPOUND_NOUN,1.5784770862630537,4.895285202037058
musical_tradition,musical_tradition,MWE_COMPOUND_NOUN,1.2217716984061506,1.9803967697183813
eastern_bloc,eastern_bloc,MWE_COMPOUND_NOUN,1.086041731422071,1.508149201442284
social_democrats,social_democrats,MWE_COMPOUND_NOUN,0.5146608893482679,3.282232301080469
per_capita,per_capita,MWE_OTHER,1.7878176803098522,0.9953466716641994
campaign_chairman,campaign_chairman,MWE_COMPOUND_NOUN,0.849120140873039,3.1497834183187905
frying_powder,frying_powder,MWE_COMPOUND_NOUN,0.12927226658781074,1.5666099957044193
brought_him_in_contact,brought_him_in_contact,MWE_LVC,2.5587237328192547,1.1825144975445332
took_the_lead,took_the_lead,MWE_LVC,2.742412405712796,3.389318493882214
series_of_books,series_of_books,MWE_COMPOUND_NOUN,3.4944484119407173,4.864968049778537
test_results,test_results,MWE_COMPOUND_NOUN,1.071631805334626,4.389212527042294
paperback_sales,paperback_sales,MWE_COMPOUND_NOUN,0.4123166822464864,4.1547739305263045
narcotics_officers,narcotics_officers,MWE_COMPOUND_NOUN,0.23560810568876867,4.694119749882612
laser_beamlines,laser_beamlines,MWE_COMPOUND_NOUN,2.2393105770237076,4.021251788546696
wharf_area,wharf_area,MWE_COMPOUND_NOUN,1.399107909334909,5.183176252676152
football_club,football_club,MWE_COMPOUND_NOUN,1.7894114049749015,3.3743068335698214
enemy_territory,enemy_territory,MWE_COMPOUND_NOUN,0.7239727784582095,4.934753526068754
practical_accuracy,practical_accuracy,MWE_COMPOUND_NOUN,0.9857497083744181,3.817941710945834
nomadic_wandering,nomadic_wandering,MWE_COMPOUND_NOUN,0.1292151925123358,3.3203640498636595
alternative_energy,alternative_energy,MWE_COMPOUND_NOUN,0.9768682941767278,2.5430209671675925
network_programs,network_programs,MWE_COMPOUND_NOUN,1.5881581028884528,4.027019102544711
motion_picture_news,motion_picture_news,MWE_COMPOUND_NOUN,1.067135782481259,4.6738405111379215
opposition_groups,opposition_groups,MWE_COMPOUND_NOUN,2.1534854335212605,2.8255703399133427
value_added,value_added,MWE_COMPOUND_ADJ,1.9727975887760885,4.767539090646559
private_interests,private_interests,MWE_COMPOUND_NOUN,1.1221272408970604,1.203080853880154
made_one_appearance,made_one_appearance,MWE_LVC,3.030282246431547,3.8549935341542407
prohibition_laws,prohibition_laws,MWE_COMPOUND_NOUN,1.1762351771821613,0.326907090729155
frying_oil,frying_oil,MWE_COMPOUND_NOUN,0.7732314328213771,4.511595113414546
put_into_storage,put_into_storage,MWE_LVC,2.3111985407580438,4.875953883637539
intoxication_tests,intoxication_tests,MWE_COMPOUND_NOUN,0.1286784290965273,4.378160624961241
fusion_yield,fusion_yield,MWE_COMPOUND_NOUN,0.17224917977816323,3.31326578460467
stop_sarah,stop_sarah,,1.3759751266418299,4.224630752444763
holtzman_effect,holtzman_effect,MWE_COMPOUND_NOUN,1.659660317179844,2.664294635935748
social_class_system,social_class_system,MWE_COMPOUND_NOUN,2.136804078559249,3.560001794756851
