mwe,type,distance,baseline
gained_international_attention,gained_international_attention,MWE_LVC,1.300888958729589,4.103551697835547
military_academy,military_academy,MWE_COMPOUND_NOUN,1.4688428630397297,3.6161092011013714
adult_education_classes,adult_education_classes,MWE_COMPOUND_NOUN,1.5735643799069674,4.2756862256870525
social_outcast,social_outcast,MWE_COMPOUND_NOUN,0.9284837124908276,5.166864943412494
housewarming_party,housewarming_party,MWE_COMPOUND_NOUN,1.4375348058366275,4.187215939190025
draws_his_main_support,draws_his_main_support,MWE_LVC,2.6464959225992706,4.551122185920413
air_fare,air_fare,MWE_COMPOUND_NOUN,0.7930773990694413,3.5570561473819895
financial_situation,financial_situation,MWE_COMPOUND_NOUN,1.177418894847433,2.874525866655403
soy_sauces,soy_sauces,MWE_COMPOUND_NOUN,0.8140669804837929,2.4601951561231887
interference_problems,interference_problems,MWE_COMPOUND_NOUN,1.255784753857523,1.918272109978665
trash_can,trash_can,MWE_COMPOUND_NOUN,2.67373301057197,5.314273699718617
founding_member,founding_member,MWE_COMPOUND_NOUN,1.4628341108770668,4.906726458841169
surfer_dude,surfer_dude,MWE_COMPOUND_NOUN,0.23681169352673445,4.640904554364268
gaseous_crowd_control,gaseous_crowd_control,MWE_COMPOUND_NOUN,1.4007263554889815,4.103446785721242
ignition_conditions,ignition_conditions,MWE_COMPOUND_NOUN,1.3156246306743427,4.959890346208372
heavy_machinery,heavy_machinery,MWE_COMPOUND_NOUN,1.2267640928324401,4.511061304580996
wedding_license,wedding_license,MWE_COMPOUND_NOUN,0.702822021737189,4.203326903537243
risk_ratio,risk_ratio,MWE_COMPOUND_NOUN,1.2414834300805226,3.307041587887126
present_day_members,present_day_members,MWE_COMPOUND_NOUN,3.2122984946011104,3.343614669328689
beam_bay,beam_bay,MWE_COMPOUND_NOUN,2.2100404518763344,3.4486466876379205
political_societies,political_societies,MWE_COMPOUND_NOUN,2.1085841811377843,5.198886883295499
barnes_dance,barnes_dance,MWE_COMPOUND_NOUN,0.2470793003141907,4.204260799648851
folk_music,folk_music,MWE_COMPOUND_NOUN,1.1372699984339687,3.8151644795923283
constitutional_law,constitutional_law,MWE_COMPOUND_NOUN,1.6638926407525514,3.1633065781401903
pipe_bomb,pipe_bomb,MWE_COMPOUND_NOUN,0.5393337566185245,3.6047014703172024
field_goal,field_goal,MWE_COMPOUND_NOUN,1.4746099066785427,5.043948728222265
