mwe,type,distance,baseline
gained_international_attention,gained_international_attention,MWE_LVC,1.1784566162370547,3.926488847565722
military_academy,military_academy,MWE_COMPOUND_NOUN,1.772206392312278,4.457317485028971
adult_education_classes,adult_education_classes,MWE_COMPOUND_NOUN,1.4376989571042174,5.0383735550738
social_outcast,social_outcast,MWE_COMPOUND_NOUN,0.8327182981696151,5.362362799410909
housewarming_party,housewarming_party,MWE_COMPOUND_NOUN,1.4106626763318542,4.809653621950545
draws_his_main_support,draws_his_main_support,MWE_LVC,2.6497980233710856,3.95345080835806
air_fare,air_fare,MWE_COMPOUND_NOUN,0.7888373511060441,3.607121421595203
financial_situation,financial_situation,MWE_COMPOUND_NOUN,1.0541603517210982,3.9619511892005947
soy_sauces,soy_sauces,MWE_COMPOUND_NOUN,1.0319569375855762,2.991911365644377
interference_problems,interference_problems,MWE_COMPOUND_NOUN,1.26178987820229,4.175877280980848
trash_can,trash_can,MWE_COMPOUND_NOUN,2.5335453012678695,6.172250751885167
founding_member,founding_member,MWE_COMPOUND_NOUN,1.226323644726689,4.05611174537512
surfer_dude,surfer_dude,MWE_COMPOUND_NOUN,0.15799619263213274,4.471824218563158
gaseous_crowd_control,gaseous_crowd_control,MWE_COMPOUND_NOUN,1.5099100379531811,4.027614846325428
ignition_conditions,ignition_conditions,MWE_COMPOUND_NOUN,1.2607572253333508,5.144600150247734
wedding_license,wedding_license,MWE_COMPOUND_NOUN,0.6387727887492547,4.022728120270869
heavy_machinery,heavy_machinery,MWE_COMPOUND_NOUN,1.2486420649337422,4.607605000702751
risk_ratio,risk_ratio,MWE_COMPOUND_NOUN,1.293703394299578,3.632360899688796
present_day_members,present_day_members,MWE_COMPOUND_NOUN,3.1812851324005655,3.9600986654413037
beam_bay,beam_bay,MWE_COMPOUND_NOUN,2.3099665559954543,3.818156528118119
political_societies,political_societies,MWE_COMPOUND_NOUN,2.1923376019352028,5.311377310128512
barnes_dance,barnes_dance,MWE_COMPOUND_NOUN,0.30029908151707696,4.150188216276824
folk_music,folk_music,MWE_COMPOUND_NOUN,1.1420195326504925,3.97812578049111
constitutional_law,constitutional_law,MWE_COMPOUND_NOUN,1.715953890366011,3.401155141785803
pipe_bomb,pipe_bomb,MWE_COMPOUND_NOUN,0.4651282508443235,3.7525030658897536
field_goal,field_goal,MWE_COMPOUND_NOUN,1.5784770862630537,0.3445458997622812
musical_tradition,musical_tradition,MWE_COMPOUND_NOUN,1.2217716984061506,3.899074455074819
eastern_bloc,eastern_bloc,MWE_COMPOUND_NOUN,1.086041731422071,3.4935998021839887
social_democrats,social_democrats,MWE_COMPOUND_NOUN,0.5146608893482679,3.798324825841256
per_capita,per_capita,MWE_OTHER,1.7878176803098522,4.089640088636163
campaign_chairman,campaign_chairman,MWE_COMPOUND_NOUN,0.849120140873039,3.6118166161483054
frying_powder,frying_powder,MWE_COMPOUND_NOUN,0.12927226658781074,3.485025674194381
brought_him_in_contact,brought_him_in_contact,MWE_LVC,2.5587237328192547,4.264615931787292
took_the_lead,took_the_lead,MWE_LVC,2.742412405712796,3.885645424578651
series_of_books,series_of_books,MWE_COMPOUND_NOUN,3.4944484119407173,8.331830879171877
test_results,test_results,MWE_COMPOUND_NOUN,1.071631805334626,3.9755840886049683
paperback_sales,paperback_sales,MWE_COMPOUND_NOUN,0.4123166822464864,5.19303938131399
narcotics_officers,narcotics_officers,MWE_COMPOUND_NOUN,0.23560810568876867,4.694119749882612
laser_beamlines,laser_beamlines,MWE_COMPOUND_NOUN,2.2393105770237076,5.075215146260601
wharf_area,wharf_area,MWE_COMPOUND_NOUN,1.399107909334909,5.183176252676152
football_club,football_club,MWE_COMPOUND_NOUN,1.7894114049749015,4.003632450138249
enemy_territory,enemy_territory,MWE_COMPOUND_NOUN,0.7239727784582095,7.630367672810858
practical_accuracy,practical_accuracy,MWE_COMPOUND_NOUN,0.9857497083744181,3.9829511832270805
nomadic_wandering,nomadic_wandering,MWE_COMPOUND_NOUN,0.1292151925123358,3.8732689727093574
alternative_energy,alternative_energy,MWE_COMPOUND_NOUN,0.9768682941767278,4.447842420761779
network_programs,network_programs,MWE_COMPOUND_NOUN,1.5881581028884528,5.211333906248763
motion_picture_news,motion_picture_news,MWE_COMPOUND_NOUN,1.067135782481259,4.6738405111379215
opposition_groups,opposition_groups,MWE_COMPOUND_NOUN,2.1534854335212605,3.6252547368641563
value_added,value_added,MWE_COMPOUND_ADJ,1.9727975887760885,5.7833170189055
private_interests,private_interests,MWE_COMPOUND_NOUN,1.1221272408970604,4.900395597775653
made_one_appearance,made_one_appearance,MWE_LVC,3.030282246431547,3.995405992231703
prohibition_laws,prohibition_laws,MWE_COMPOUND_NOUN,1.1762351771821613,5.0867174464434335
frying_oil,frying_oil,MWE_COMPOUND_NOUN,0.7732314328213771,4.770815181652921
put_into_storage,put_into_storage,MWE_LVC,2.3111985407580438,8.187342736790065
intoxication_tests,intoxication_tests,MWE_COMPOUND_NOUN,0.1286784290965273,5.009722251159241
fusion_yield,fusion_yield,MWE_COMPOUND_NOUN,0.17224917977816323,4.434013840714191
