mwe,type,distance,baseline
gained_international_attention,gained_international_attention,MWE_LVC,0.1274500254474496,1.8959908709226423
military_academy,military_academy,MWE_COMPOUND_NOUN,0.6742135299943928,1.9869333514723138
adult_education_classes,adult_education_classes,MWE_COMPOUND_NOUN,0.24073455717357148,2.3885338011776174
social_outcast,social_outcast,MWE_COMPOUND_NOUN,0.33346114593682424,5.070791978755095
housewarming_party,housewarming_party,MWE_COMPOUND_NOUN,0.6169875606365577,2.560587946201809
draws_his_main_support,draws_his_main_support,MWE_LVC,1.9284963038329888,1.9436878524390173
air_fare,air_fare,MWE_COMPOUND_NOUN,0.7192215797937378,1.7831447792745263
financial_situation,financial_situation,MWE_COMPOUND_NOUN,0.33041647365370574,1.4759729642899968
soy_sauces,soy_sauces,MWE_COMPOUND_NOUN,0.11483587530036075,1.3518425933691391
interference_problems,interference_problems,MWE_COMPOUND_NOUN,0.45255196097409645,0.7273303813158087
trash_can,trash_can,MWE_COMPOUND_NOUN,1.424893420565377,3.1642177432586713
founding_member,founding_member,MWE_COMPOUND_NOUN,0.5930726950326157,2.4683327519890828
surfer_dude,surfer_dude,MWE_COMPOUND_NOUN,0.11200941695232595,2.169971603166963
gaseous_crowd_control,gaseous_crowd_control,MWE_COMPOUND_NOUN,0.5403059283198322,2.429827049706624
ignition_conditions,ignition_conditions,MWE_COMPOUND_NOUN,0.5293128946315686,7.574068714976978
heavy_machinery,heavy_machinery,MWE_COMPOUND_NOUN,0.40379115664938725,1.5043135927438798
wedding_license,wedding_license,MWE_COMPOUND_NOUN,0.1854464165042021,2.0231067635537676
risk_ratio,risk_ratio,MWE_COMPOUND_NOUN,0.29419651995902324,1.6541082221299788
present_day_members,present_day_members,MWE_COMPOUND_NOUN,1.3178726315481577,0.9308065558245711
beam_bay,beam_bay,MWE_COMPOUND_NOUN,0.5922628328065168,1.7762779032217906
political_societies,political_societies,MWE_COMPOUND_NOUN,0.6467184681318061,3.8208852304704206
barnes_dance,barnes_dance,MWE_COMPOUND_NOUN,0.09347811803705723,2.4666399499341205
folk_music,folk_music,MWE_COMPOUND_NOUN,0.7732354448555757,1.800715947666927
constitutional_law,constitutional_law,MWE_COMPOUND_NOUN,0.5423290099459921,1.1303649929469686
pipe_bomb,pipe_bomb,MWE_COMPOUND_NOUN,0.3831393080153744,1.7980016556063014
field_goal,field_goal,MWE_COMPOUND_NOUN,0.6242446391730168,7.467329015139079
musical_tradition,musical_tradition,MWE_COMPOUND_NOUN,0.3035992931233536,1.3135241690597093
eastern_bloc,eastern_bloc,MWE_COMPOUND_NOUN,0.3533393022135381,2.4218438308569774
social_democrats,social_democrats,MWE_COMPOUND_NOUN,0.3095836232672038,1.5243553717585017
per_capita,per_capita,MWE_OTHER,0.29531394853824633,2.4098292007024065
campaign_chairman,campaign_chairman,MWE_COMPOUND_NOUN,0.2799110461919108,1.669349725310428
frying_powder,frying_powder,MWE_COMPOUND_NOUN,0.14605949224716616,1.868100832503428
brought_him_in_contact,brought_him_in_contact,MWE_LVC,2.622639937871738,2.493817137423071
took_the_lead,took_the_lead,MWE_LVC,0.6597771590534691,1.5155176324543373
series_of_books,series_of_books,MWE_COMPOUND_NOUN,3.466731569014361,4.761500157574398
test_results,test_results,MWE_COMPOUND_NOUN,0.4180861016776328,3.017295108012308
paperback_sales,paperback_sales,MWE_COMPOUND_NOUN,0.3062771261610961,3.7292274118232585
narcotics_officers,narcotics_officers,MWE_COMPOUND_NOUN,0.29870506406487324,1.9411651209879082
laser_beamlines,laser_beamlines,MWE_COMPOUND_NOUN,0.8231984493805246,1.8210335019282318
wharf_area,wharf_area,MWE_COMPOUND_NOUN,0.707596899204978,1.4023986596068183
football_club,football_club,MWE_COMPOUND_NOUN,0.5479357906782967,1.6435483340261097
