mwe,type,distance,baseline
gained_international_attention,gained_international_attention,MWE_LVC,0.1274500254474496,0.7324715295006353
military_academy,military_academy,MWE_COMPOUND_NOUN,0.6742135299943928,0.9582949915923594
adult_education_classes,adult_education_classes,MWE_COMPOUND_NOUN,0.24073455717357148,2.0725483893002354
social_outcast,social_outcast,MWE_COMPOUND_NOUN,0.33346114593682424,3.6885031603691223
housewarming_party,housewarming_party,MWE_COMPOUND_NOUN,0.6169875606365577,1.8010926362402908
draws_his_main_support,draws_his_main_support,MWE_LVC,1.9284963038329888,0.7119699136908807
air_fare,air_fare,MWE_COMPOUND_NOUN,0.7192215797937378,0.8828929420496009
financial_situation,financial_situation,MWE_COMPOUND_NOUN,0.33041647365370574,0.38722510964683066
soy_sauces,soy_sauces,MWE_COMPOUND_NOUN,0.11483587530036075,1.0594561189185705
interference_problems,interference_problems,MWE_COMPOUND_NOUN,0.45255196097409645,1.9664322573195854
trash_can,trash_can,MWE_COMPOUND_NOUN,1.424893420565377,0.2367376136971056
founding_member,founding_member,MWE_COMPOUND_NOUN,0.5930726950326157,2.020331337184324
surfer_dude,surfer_dude,MWE_COMPOUND_NOUN,0.11200941695232595,2.044015589648964
gaseous_crowd_control,gaseous_crowd_control,MWE_COMPOUND_NOUN,0.5403059283198322,1.1595250847799714
ignition_conditions,ignition_conditions,MWE_COMPOUND_NOUN,0.5293128946315686,1.4405109148413278
wedding_license,wedding_license,MWE_COMPOUND_NOUN,0.1854464165042021,1.751070528981343
heavy_machinery,heavy_machinery,MWE_COMPOUND_NOUN,0.40379115664938725,0.9550408263786424
risk_ratio,risk_ratio,MWE_COMPOUND_NOUN,0.29419651995902324,1.173782047863231
present_day_members,present_day_members,MWE_COMPOUND_NOUN,1.3178726315481577,1.5356552582454825
beam_bay,beam_bay,MWE_COMPOUND_NOUN,0.5922628328065168,0.7003754217717809
political_societies,political_societies,MWE_COMPOUND_NOUN,0.6467184681318061,3.2188532135692363
barnes_dance,barnes_dance,MWE_COMPOUND_NOUN,0.09347811803705723,0.29859001886198416
folk_music,folk_music,MWE_COMPOUND_NOUN,0.7732354448555757,1.4577495148272215
constitutional_law,constitutional_law,MWE_COMPOUND_NOUN,0.5423290099459921,0.502433541112653
pipe_bomb,pipe_bomb,MWE_COMPOUND_NOUN,0.3831393080153744,2.0915885709792454
field_goal,field_goal,MWE_COMPOUND_NOUN,0.6242446391730168,0.18428838708936598
musical_tradition,musical_tradition,MWE_COMPOUND_NOUN,0.3035992931233536,1.745301906824146
eastern_bloc,eastern_bloc,MWE_COMPOUND_NOUN,0.3533393022135381,0.27687224937324434
social_democrats,social_democrats,MWE_COMPOUND_NOUN,0.3095836232672038,0.7480208315708861
per_capita,per_capita,MWE_OTHER,0.29531394853824633,2.0206896833071624
