mwe,type,distance,baseline
gained_international_attention,gained_international_attention,MWE_LVC,0.1274500254474496,1.6185164666335647
military_academy,military_academy,MWE_COMPOUND_NOUN,0.6742135299943928,2.742568234479317
adult_education_classes,adult_education_classes,MWE_COMPOUND_NOUN,0.24073455717357148,5.684681136592094
social_outcast,social_outcast,MWE_COMPOUND_NOUN,0.33346114593682424,7.112391365209455
housewarming_party,housewarming_party,MWE_COMPOUND_NOUN,0.6169875606365577,2.560587946201809
draws_his_main_support,draws_his_main_support,MWE_LVC,1.9284963038329888,1.5031016239210173
air_fare,air_fare,MWE_COMPOUND_NOUN,0.7192215797937378,1.4553232607795428
financial_situation,financial_situation,MWE_COMPOUND_NOUN,0.33041647365370574,1.4759729642899968
soy_sauces,soy_sauces,MWE_COMPOUND_NOUN,0.11483587530036075,1.3518425933691391
interference_problems,interference_problems,MWE_COMPOUND_NOUN,0.45255196097409645,2.6110228545866843
trash_can,trash_can,MWE_COMPOUND_NOUN,1.424893420565377,5.059398902964364
founding_member,founding_member,MWE_COMPOUND_NOUN,0.5930726950326157,3.3012555621139064
surfer_dude,surfer_dude,MWE_COMPOUND_NOUN,0.11200941695232595,2.129281398228754
gaseous_crowd_control,gaseous_crowd_control,MWE_COMPOUND_NOUN,0.5403059283198322,2.429827049706624
ignition_conditions,ignition_conditions,MWE_COMPOUND_NOUN,0.5293128946315686,7.574068714976978
wedding_license,wedding_license,MWE_COMPOUND_NOUN,0.1854464165042021,1.751070528981343
heavy_machinery,heavy_machinery,MWE_COMPOUND_NOUN,0.40379115664938725,2.201439694162209
risk_ratio,risk_ratio,MWE_COMPOUND_NOUN,0.29419651995902324,2.1346736315579955
present_day_members,present_day_members,MWE_COMPOUND_NOUN,1.3178726315481577,1.3027941260252902
beam_bay,beam_bay,MWE_COMPOUND_NOUN,0.5922628328065168,1.3919728596729173
political_societies,political_societies,MWE_COMPOUND_NOUN,0.6467184681318061,3.197317354276238
barnes_dance,barnes_dance,MWE_COMPOUND_NOUN,0.09347811803705723,1.7758364951616465
folk_music,folk_music,MWE_COMPOUND_NOUN,0.7732354448555757,2.313599320635273
constitutional_law,constitutional_law,MWE_COMPOUND_NOUN,0.5423290099459921,2.42115906788794
